,C,O,c,1,c,(,C,N,C,(,C,N,c,2,c,c,(,[,N,+,],(,[,O,-,],),=,O,),c,c,(,F,),c,2,),=,O,),c,(,O,C,),c,c,(,O,C,),c,1
),0.0059188744,0.002082533,0.0017567568,0.00015795243,0.006666298,0.00014490826,0.001913082,0.0012919427,0.0007970822,0.003605919,0.0013881301,0.0044947183,0.010021364,0.0005789022,0.03381189,0.0020558941,0.001173133,0.04489145,0.013098264,0.030371975,0.16445369,0.0026338915,0.030918552,0.009179426,0.006928359,0.041148685,0.0028116114,0.01575525,0.034305625,0.0059990236,0.02057164,0.015386833,0.003429045,0.04454519,0.2670208,0.01922699,0.0047180783,0.06815485,0.01142786,0.009999156,0.0008768263,0.0064214626,0.00016621643,0.0026408816,0.0022500528,0.002787181,0.0042426013,0.0006063861,0.0001424807,0.0024775756,0.0015426838,0.0018377167,0.003481047,0.0004735027
c,0.016807703,0.0058804685,0.004269577,0.00080023095,0.007125455,0.0011128829,0.0044516493,0.001438498,0.0015940537,0.0010765368,0.0036237214,0.002786457,0.04098062,0.00066078204,0.017515212,0.0015410491,0.0011925641,0.035848122,0.015805636,0.016350644,0.11364728,0.0028794636,0.018241612,0.010650811,0.004016192,0.035647236,0.0027678725,0.047891695,0.0080422,0.002425495,0.06535447,0.025353966,0.004886785,0.025919206,0.098433696,0.08093542,0.0042940187,0.022846257,0.061743997,0.003076751,0.00048301977,0.035663005,0.00089258386,0.0035464305,0.004830864,0.005997301,0.04627032,0.0015266152,0.00024007112,0.0015303644,0.001475324,0.002258865,0.03145203,0.0016998608
c,0.0031221132,0.00049335306,0.00050260645,1.715932e-05,0.0008557197,2.6465057e-05,0.0013123469,0.00038569077,0.00018796351,0.0006562661,0.0032977646,0.002103527,0.0114364,3.4256955e-05,0.0035536739,6.223932e-05,5.0937382e-05,0.033044327,0.0026830714,0.0061824033,0.13551784,0.0002866019,0.013247543,0.0013236284,0.00082706666,0.0125370305,0.0002044719,0.010001845,0.0045459177,0.00040244727,0.01429614,0.0023557409,0.00061661017,0.041495502,0.6201962,0.025154635,0.00023766591,0.0036342412,0.014768904,0.0035378903,7.602992e-05,0.0058124214,2.0353094e-05,0.0011988085,0.00059192796,0.0004543068,0.0061435946,2.7919476e-05,5.4611232e-06,0.00044245712,0.00016338185,0.00017838777,0.003797592,2.3175877e-05
(,0.0060763643,0.0027477362,0.0020921773,0.00026519242,0.008415218,0.00022913364,0.0021501428,0.0013927984,0.0009932375,0.0042624637,0.0015279948,0.0051455977,0.010655327,0.0010691882,0.042475086,0.004207785,0.002328611,0.04398767,0.016664164,0.034059256,0.15976061,0.0036216406,0.033561222,0.012422483,0.010004919,0.044159934,0.004037314,0.014476218,0.039710823,0.00875867,0.018280935,0.021559002,0.0052610813,0.04201897,0.20566429,0.016076926,0.00809366,0.07966457,0.009723,0.010938631,0.0013602275,0.0059199715,0.00026473944,0.0028816096,0.002563464,0.0034579115,0.003789039,0.0009189485,0.00024674513,0.00279581,0.0019898755,0.0024569167,0.003268926,0.00074389763
[,0.005122297,0.006230102,0.0029572684,0.000112513924,0.016355392,6.0483977e-05,0.006462195,0.0009449816,0.0001355248,0.0006631052,0.0008806429,0.0006528169,0.003030093,6.9925234e-05,0.023710912,0.00055146636,0.00040671226,0.12248429,0.012480601,0.0116754165,0.2062009,0.00082595204,0.027201328,0.0039413436,0.003962364,0.008637633,0.00067854294,0.0058470494,0.016088849,0.0021611669,0.00761673,0.0071692374,0.002268273,0.10305376,0.26620227,0.011817475,0.0013501348,0.03315331,0.0051996713,0.0070347604,0.00029131767,0.003357462,0.00012950662,0.016141037,0.0036717854,0.0058505186,0.0036450569,0.00031548014,4.9384846e-05,0.004862614,0.0012238958,0.0020205965,0.0025124568,0.00020603667
N,0.0038510172,0.003031331,0.0018494228,2.3836305e-05,0.010791066,1.3230325e-05,0.0051782443,0.0011320869,0.00012542338,0.0008725576,0.00085703033,0.000825128,0.0027481758,2.1475737e-05,0.016997458,0.0001030909,7.801117e-05,0.099746995,0.0041250675,0.006753649,0.09821911,0.0002770281,0.016016683,0.0011332821,0.0014471175,0.0045333034,0.0002086685,0.004599174,0.010240704,0.0009884865,0.006670067,0.0013899193,0.0005412168,0.11764075,0.49099135,0.010555016,0.00021126376,0.017337263,0.004465957,0.0080138575,0.00019593397,0.002483702,2.5753587e-05,0.0120603815,0.0023096022,0.002764016,0.0027568778,8.002904e-05,1.7049146e-05,0.006215532,0.000974266,0.0013303867,0.0019909125,5.1628915e-05
+,0.002129235,0.002025755,0.0015978343,0.00011833026,0.0059180344,5.5221622e-05,0.0013758098,0.00069263927,0.00031565424,0.0013939522,0.00060228474,0.0011307705,0.0033591157,0.00030313875,0.017436773,0.0019075277,0.0015778694,0.04668807,0.008737151,0.019543726,0.15957244,0.0008974824,0.021160575,0.0033045847,0.0058720447,0.011639235,0.00086023536,0.003473591,0.016312495,0.0037070562,0.0042109294,0.0114702685,0.00657513,0.069287136,0.47857106,0.004885366,0.00423482,0.036209915,0.0022548037,0.0069413576,0.0005986111,0.0014945173,0.00013960928,0.003639582,0.0020526226,0.002152501,0.001095589,0.00040959028,0.000116987154,0.0025487447,0.0010400752,0.0010984482,0.0007968969,0.0002500909
],0.0003260485,0.00023964315,0.00029852855,3.8814047e-05,0.00084935443,3.0916966e-05,0.0006484366,0.00035234098,7.468081e-05,0.0008258946,0.0012427528,0.00065543357,0.0021955792,0.000585643,0.0061784983,0.0010293211,0.0012859639,0.025023479,0.003434762,0.0050971736,0.085742086,0.00017742754,0.007633823,0.00044306432,0.00089462276,0.0008863711,0.00010630714,0.00033714573,0.00063679443,0.00049171416,0.0004256026,0.0014971136,0.002429865,0.020008357,0.82087344,0.00046805866,0.00048628155,0.002021616,0.00029671442,0.00052812253,8.421457e-05,0.00014602757,3.531125e-05,0.0009687525,0.00035734032,0.00017060176,0.00010114937,1.8282773e-05,1.2308397e-05,0.00036744596,0.00012818014,6.678772e-05,6.424438e-05,1.2333942e-05
(,0.0076421467,0.0031700302,0.0022660813,0.000318136,0.0136792,0.00028353895,0.003660037,0.0019185792,0.0011800155,0.004619331,0.0018643548,0.0049072914,0.009612384,0.0010428482,0.05361321,0.0042378004,0.002129805,0.04932362,0.015234005,0.031224435,0.1223539,0.0031756659,0.03635577,0.01198722,0.008446972,0.04274604,0.0035668728,0.018025395,0.03381175,0.0074722753,0.022376727,0.015625525,0.0042466796,0.045259282,0.19241855,0.01955805,0.007570578,0.093553096,0.0121507,0.01022892,0.0014157061,0.007797229,0.00029614737,0.004470971,0.0025770704,0.003640346,0.005039505,0.00093601865,0.00027658636,0.004065849,0.0020843814,0.002686761,0.004475806,0.000810516
=,0.0064194957,0.003307601,0.002200881,0.00015373302,0.31059223,9.632233e-05,0.038084734,0.002013007,0.00042422264,0.0004162091,0.0008568458,0.00031196247,0.0012087509,7.193735e-05,0.11941019,0.00066425017,0.00026174486,0.04164277,0.0028055212,0.0017586198,0.003548712,0.00050899875,0.004540816,0.0010637672,0.0009854597,0.0010577708,0.00048853067,0.0072048157,0.00092462247,0.00090857723,0.009188906,0.0004786042,0.00046638065,0.05060719,0.022217039,0.013821315,0.0013109772,0.10417764,0.0075903577,0.00182417,0.0011732895,0.0066417423,0.00020849073,0.093320176,0.0026211268,0.002698661,0.0072173993,0.0004176409,0.0001241471,0.023231406,0.0011574647,0.0012110908,0.0048509957,0.00032430104
